City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,75,13.8,light rain
1,Rikitea,PF,-23.1203,-134.9692,77.81,73,96,12.97,overcast clouds
2,Lebu,CL,-37.6167,-73.65,60.71,87,24,3.65,few clouds
3,Ushuaia,AR,-54.8,-68.3,60.8,59,0,4.61,clear sky
4,Lavrentiya,RU,65.5833,-171.0,-8.27,85,0,7.85,clear sky
5,Behbahan,IR,30.5959,50.2417,44.6,93,0,2.19,clear sky
6,Dingle,PH,10.9995,122.6711,76.06,91,100,9.22,overcast clouds
7,Mount Gambier,AU,-37.8333,140.7667,57.2,67,90,10.36,overcast clouds
8,Mataura,NZ,-46.1927,168.8643,70.38,46,99,3.13,overcast clouds
9,Zaokskiy,RU,54.7306,37.4089,3.0,94,99,7.49,overcast clouds
10,Codrington,AU,-38.2667,141.9667,58.57,67,100,12.95,overcast clouds
11,East London,ZA,-33.0153,27.9116,71.71,84,94,10.65,light rain
12,Balikpapan,ID,-1.2675,116.8289,78.8,94,40,3.44,scattered clouds
13,Zemio,CF,5.0314,25.1361,62.73,29,76,4.12,broken clouds
14,Viedma,AR,-40.8135,-62.9967,61.0,63,66,14.09,broken clouds
15,Nikolskoye,RU,59.7035,30.7861,17.6,86,75,15.66,broken clouds
16,Punta Arenas,CL,-53.15,-70.9167,71.6,24,0,13.8,clear sky
17,Yatou,CN,37.15,122.3833,26.85,84,0,11.27,clear sky
18,Tasiilaq,GL,65.6145,-37.6368,26.6,46,0,18.41,clear sky
19,Samarai,PG,-10.6167,150.6667,84.65,69,98,4.12,overcast clouds
20,Sao Joao Do Piaui,BR,-8.3581,-42.2467,80.33,60,31,3.11,scattered clouds
21,Ancud,CL,-41.8697,-73.8203,67.57,63,0,3.74,clear sky
22,Fairlie,GB,55.756,-4.8556,34.0,76,49,3.0,scattered clouds
23,Barrow,US,71.2906,-156.7887,-25.6,68,1,10.36,clear sky
24,Yellowknife,CA,62.456,-114.3525,-31.0,61,20,6.91,few clouds
25,Jamestown,US,42.097,-79.2353,14.0,85,90,11.5,light snow
26,Krasnoselkup,RU,65.7,82.4667,17.33,97,99,11.54,light snow
27,Trincomalee,LK,8.5711,81.2335,78.4,84,24,19.24,few clouds
28,Bluff,NZ,-46.6,168.3333,61.34,68,99,3.98,light rain
29,Buraydah,SA,26.326,43.975,51.8,100,40,3.44,scattered clouds
30,Luanda,AO,-8.8368,13.2343,78.8,83,20,5.75,few clouds
31,Alofi,NU,-19.0595,-169.9187,86.0,70,85,12.66,overcast clouds
32,Walvis Bay,NA,-22.9575,14.5053,64.99,77,4,11.5,clear sky
33,Salamiyah,SY,35.0113,37.0532,50.68,90,20,7.31,few clouds
34,Busselton,AU,-33.65,115.3333,63.0,99,87,1.01,overcast clouds
35,Victoria,HK,22.2855,114.1577,66.0,84,1,12.06,clear sky
36,Hermanus,ZA,-34.4187,19.2345,61.0,84,11,2.21,few clouds
37,Elat,IL,29.5581,34.9482,62.6,63,0,4.61,clear sky
38,Deputatskiy,RU,69.3,139.9,-26.72,85,53,1.48,broken clouds
39,Iqaluit,CA,63.7506,-68.5145,30.2,74,90,14.97,light snow
40,Mardan,PK,34.2019,72.0525,51.8,71,40,4.61,haze
41,Cherskiy,RU,68.75,161.3,-0.99,68,11,2.84,few clouds
42,Saskylakh,RU,71.9167,114.0833,-37.12,79,31,12.95,scattered clouds
43,Castro,BR,-24.7911,-50.0119,63.45,69,3,6.11,clear sky
44,Nyaunglebin,MM,17.95,96.7333,66.76,84,98,1.79,overcast clouds
45,Tautira,PF,-17.7333,-149.15,86.0,62,20,11.5,few clouds
46,Kloulklubed,PW,7.0419,134.2556,77.0,94,90,6.91,overcast clouds
47,Balad,IQ,34.0164,44.1453,57.15,51,0,5.5,clear sky
48,Abu Samrah,SY,35.3029,37.1841,50.54,88,2,6.73,clear sky
49,Port Alfred,ZA,-33.5906,26.891,66.99,96,99,1.01,light rain
50,Mahebourg,MU,-20.4081,57.7,80.6,74,20,8.05,light rain
51,Airai,TL,-8.9266,125.4092,63.54,100,100,2.28,overcast clouds
52,Willmar,US,45.1219,-95.0433,-4.0,54,1,6.91,clear sky
53,Nouadhibou,MR,20.931,-17.0347,64.4,72,0,19.57,clear sky
54,Cape Town,ZA,-33.9258,18.4232,66.99,63,0,17.27,clear sky
55,Shimoda,JP,34.6667,138.95,45.0,61,1,1.01,clear sky
56,Palmer,US,42.1584,-72.3287,27.0,86,90,9.22,light snow
57,Arraial Do Cabo,BR,-22.9661,-42.0278,71.6,94,75,4.61,broken clouds
58,Biscarrosse,FR,44.3945,-1.1672,44.6,100,100,2.3,overcast clouds
59,Bud,US,39.447,-86.1758,12.99,55,100,5.53,overcast clouds
60,Port Hardy,CA,50.6996,-127.4199,41.0,70,40,16.11,scattered clouds
61,Port Elizabeth,ZA,-33.918,25.5701,64.4,94,75,10.36,broken clouds
62,Camocim,BR,-2.9022,-40.8411,80.19,81,33,11.32,scattered clouds
63,Playas,EC,-2.6333,-80.3833,79.16,77,28,10.42,scattered clouds
64,Narsaq,GL,60.9167,-46.05,37.4,28,20,42.57,few clouds
65,Shimanovsk,RU,52.0,127.7,-14.69,86,0,8.16,clear sky
66,Kortkeros,RU,61.8106,51.5806,-18.4,76,40,8.95,scattered clouds
67,Thompson,CA,55.7435,-97.8558,-23.8,62,75,16.11,snow
68,Chuy,UY,-33.6971,-53.4616,67.32,74,41,9.06,scattered clouds
69,Luderitz,NA,-26.6481,15.1594,67.75,57,0,28.48,clear sky
70,Carnarvon,AU,-24.8667,113.6333,75.2,100,40,9.22,scattered clouds
71,Esperance,AU,-33.8667,121.9,62.6,88,26,8.05,scattered clouds
72,Sola,VU,-13.8833,167.55,81.07,73,100,5.01,overcast clouds
73,New Norfolk,AU,-42.7826,147.0587,60.01,69,60,1.99,broken clouds
74,Butaritari,KI,3.0707,172.7902,81.19,80,93,19.46,overcast clouds
75,Bredasdorp,ZA,-34.5322,20.0403,60.8,77,5,4.61,clear sky
76,Peabiru,BR,-23.9128,-52.3431,80.6,57,20,2.3,few clouds
77,Tuatapere,NZ,-46.1333,167.6833,66.24,58,100,6.69,light rain
78,Tanout,NE,14.9709,8.8879,64.87,23,87,10.2,overcast clouds
79,Kirovskiy,RU,45.0917,133.5136,-16.74,88,65,2.89,broken clouds
80,Pizarro,CO,4.9533,-77.366,80.87,85,100,2.77,light rain
81,Eregli,TR,37.5133,34.0467,46.31,55,33,1.01,scattered clouds
82,Avarua,CK,-21.2078,-159.775,86.0,74,20,14.97,few clouds
83,Mount Isa,AU,-20.7333,139.5,80.6,78,75,10.36,broken clouds
84,Vaini,TO,-21.2,-175.2,78.8,94,75,14.97,moderate rain
85,Umm Kaddadah,SD,13.6017,26.6876,61.86,29,0,13.82,clear sky
86,Vengerovo,RU,55.6848,76.7471,9.7,94,100,16.08,overcast clouds
87,Atuona,PF,-9.8,-139.0333,79.61,75,23,20.31,few clouds
88,Eenhana,NA,-17.4667,16.3333,82.4,57,88,4.61,light rain
89,Dikson,RU,73.5069,80.5464,-32.12,85,90,16.24,overcast clouds
90,Wonthaggi,AU,-38.6044,145.5913,62.01,74,100,11.07,overcast clouds
91,Aksarka,RU,66.5606,67.7975,-16.74,88,100,29.04,light snow
92,Pangnirtung,CA,66.1451,-65.7125,26.89,77,0,11.56,clear sky
93,Torbay,CA,47.6666,-52.7314,30.0,69,20,28.77,few clouds
94,Fortuna,US,40.5982,-124.1573,55.0,81,1,13.8,clear sky
95,Hobart,AU,-42.8794,147.3294,60.8,51,75,17.27,broken clouds
96,Kieta,PG,-6.2167,155.6333,85.78,67,33,5.73,scattered clouds
97,Egvekinot,RU,66.3167,-179.1667,-11.52,86,0,15.35,clear sky
98,Iskateley,RU,67.6803,53.1512,-16.17,88,100,15.48,overcast clouds
99,Albany,US,42.6001,-73.9662,28.99,63,99,1.01,light snow
100,Cabo San Lucas,MX,22.8909,-109.9124,73.99,53,20,11.5,few clouds
101,Birao,CF,10.2849,22.7882,61.05,30,88,5.12,overcast clouds
102,Nanortalik,GL,60.1432,-45.2371,30.16,88,95,15.68,overcast clouds
103,Hilo,US,19.7297,-155.09,82.4,42,1,4.61,clear sky
104,Yakeshi,CN,49.2833,120.7333,-23.93,86,10,3.0,clear sky
105,Bengkulu,ID,-3.8004,102.2655,75.36,81,91,5.01,light rain
106,The Valley,AI,18.217,-63.0578,80.6,73,40,12.66,scattered clouds
107,Honningsvag,NO,70.9821,25.9704,24.8,74,40,32.21,light snow
108,Kapaa,US,22.0752,-159.319,75.99,56,1,5.75,clear sky
109,Saint-Pierre,RE,-21.3393,55.4781,80.6,69,90,3.44,overcast clouds
110,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,75,18.41,snow
111,Bethel,US,41.3712,-73.414,28.99,93,100,3.11,overcast clouds
112,Mogadishu,SO,2.0371,45.3438,77.43,81,8,23.31,clear sky
113,Hithadhoo,MV,-0.6,73.0833,82.06,69,40,8.05,scattered clouds
114,Serramanna,IT,39.4244,8.9244,53.6,87,75,5.75,broken clouds
115,Nuuk,GL,64.1835,-51.7216,30.2,43,20,11.5,few clouds
116,Xilopolis,GR,40.9271,23.1794,52.0,89,99,4.09,overcast clouds
117,Mazagao,BR,-0.115,-51.2894,80.6,83,75,6.91,broken clouds
118,Upernavik,GL,72.7868,-56.1549,18.45,79,14,2.66,few clouds
119,La Tuque,CA,47.4334,-72.7824,19.4,93,100,3.44,light snow
120,Hangu,CN,39.2489,117.7892,23.0,74,0,4.47,clear sky
