City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,82.4,light rain,-0.7393,-90.3518,Castillo Galapagos
1,Rikitea,PF,77.81,overcast clouds,-23.1203,-134.9692,Pension Maro'i
6,Dingle,PH,76.06,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
8,Mataura,NZ,70.38,overcast clouds,-46.1927,168.8643,Ellie's Villa
11,East London,ZA,71.71,light rain,-33.0153,27.9116,Tu Casa
12,Balikpapan,ID,78.8,scattered clouds,-1.2675,116.8289,Grand Jatra Hotel Balikpapan
16,Punta Arenas,CL,71.6,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
19,Samarai,PG,84.65,overcast clouds,-10.6167,150.6667,Nuli Sapi
20,Sao Joao Do Piaui,BR,80.33,scattered clouds,-8.3581,-42.2467,Nayra Palace Hotel
27,Trincomalee,LK,78.4,few clouds,8.5711,81.2335,Welcombe Hotel
30,Luanda,AO,78.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
46,Kloulklubed,PW,77.0,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
50,Mahebourg,MU,80.6,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
57,Arraial Do Cabo,BR,71.6,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
62,Camocim,BR,80.19,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
63,Playas,EC,79.16,scattered clouds,-2.6333,-80.3833,Hostal Promenade
70,Carnarvon,AU,75.2,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
72,Sola,VU,81.07,overcast clouds,-13.8833,167.55,Leumerus Bungalows
74,Butaritari,KI,81.19,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
76,Peabiru,BR,80.6,few clouds,-23.9128,-52.3431,La visa hotel
80,Pizarro,CO,80.87,light rain,4.9533,-77.366,Hotel Limonar
83,Mount Isa,AU,80.6,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
84,Vaini,TO,78.8,moderate rain,-21.2,-175.2,Keleti Beach Resort
87,Atuona,PF,79.61,few clouds,-9.8,-139.0333,Villa Enata
100,Cabo San Lucas,MX,73.99,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
103,Hilo,US,82.4,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
105,Bengkulu,ID,75.36,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
106,The Valley,AI,80.6,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
108,Kapaa,US,75.99,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
109,Saint-Pierre,RE,80.6,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
112,Mogadishu,SO,77.43,clear sky,2.0371,45.3438,Hotel Juba
113,Hithadhoo,MV,82.06,scattered clouds,-0.6,73.0833,Scoop Guest House
117,Mazagao,BR,80.6,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
134,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
138,Presidencia Roque Saenz Pena,AR,79.97,clear sky,-26.7852,-60.4388,Hotel Gualok
