City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chuy,UY,2021-02-06 22:23:56,-33.6971,-53.4616,73.42,68,0,10.4
1,Rikitea,PF,2021-02-06 22:25:11,-23.1203,-134.9692,78.19,70,100,9.95
2,Kapaa,US,2021-02-06 22:28:30,22.0752,-159.319,73.99,49,20,6.91
3,Saint-Philippe,RE,2021-02-06 22:25:57,-21.3585,55.7679,78.8,83,40,4.61
4,Punta Arenas,CL,2021-02-06 22:28:30,-53.15,-70.9167,57.2,51,75,24.16
5,Hobart,AU,2021-02-06 22:27:21,-42.8794,147.3294,64.0,59,75,12.66
6,Bluff,NZ,2021-02-06 22:24:12,-46.6,168.3333,59.63,69,2,1.77
7,Busselton,AU,2021-02-06 22:27:32,-33.65,115.3333,57.99,97,100,3.0
8,Novikovo,RU,2021-02-06 22:28:30,51.1537,37.8879,5.31,91,100,10.98
9,Yellowknife,CA,2021-02-06 22:25:38,62.456,-114.3525,-34.01,61,1,4.61
10,Atuona,PF,2021-02-06 22:28:31,-9.8,-139.0333,80.35,77,100,20.36
11,Saldanha,ZA,2021-02-06 22:28:31,-33.0117,17.9442,66.2,82,19,8.05
12,Sulangan,PH,2021-02-06 22:28:31,11.1373,123.7228,80.31,81,13,13.6
13,Pevek,RU,2021-02-06 22:28:31,69.7008,170.3133,-5.22,88,47,5.32
14,Bubaque,GW,2021-02-06 22:28:18,11.2833,-15.8333,81.05,55,53,17.31
15,Coari,BR,2021-02-06 22:28:31,-4.085,-63.1414,80.29,84,99,0.56
16,Morki,RU,2021-02-06 22:28:31,56.4303,48.9947,-5.84,89,100,9.75
17,Svetlogorsk,BY,2021-02-06 22:28:32,52.6333,29.7333,1.8,93,13,5.53
18,Ulladulla,AU,2021-02-06 22:28:32,-35.35,150.4667,73.4,64,32,2.55
19,Rocha,UY,2021-02-06 22:28:32,-34.4833,-54.3333,70.68,75,0,10.47
20,Sukabumi,ID,2021-02-06 22:28:32,-6.9181,106.9267,80.01,95,96,4.59
21,Palmer,US,2021-02-06 22:28:32,42.1584,-72.3287,39.2,32,20,20.71
22,Bengkulu,ID,2021-02-06 22:28:32,-3.8004,102.2655,76.69,73,98,4.47
23,Mackay,AU,2021-02-06 22:28:32,-21.15,149.2,80.6,83,100,5.75
24,Ribeira Grande,PT,2021-02-06 22:28:33,38.5167,-28.7,60.8,94,75,18.41
25,Itarema,BR,2021-02-06 22:28:33,-2.9248,-39.9167,79.72,79,21,12.12
26,Trairi,BR,2021-02-06 22:26:51,-3.2778,-39.2689,79.21,79,68,8.5
27,Lebu,CL,2021-02-06 22:28:33,-37.6167,-73.65,61.38,84,61,4.74
28,Khatanga,RU,2021-02-06 22:28:33,71.9667,102.5,-36.06,78,0,7.54
29,Inirida,CO,2021-02-06 22:28:33,3.8653,-67.9239,81.12,87,99,1.34
30,Waingapu,ID,2021-02-06 22:26:38,-9.6567,120.2641,77.38,79,55,5.82
31,Buchanan,LR,2021-02-06 22:28:34,5.8808,-10.0467,79.32,88,98,8.12
32,New Norfolk,AU,2021-02-06 22:28:34,-42.7826,147.0587,64.0,61,65,1.99
33,Pinawa,CA,2021-02-06 22:28:34,50.1489,-95.8811,-18.94,85,100,10.63
34,Mar Del Plata,AR,2021-02-06 22:28:34,-38.0023,-57.5575,66.99,68,20,12.66
35,Vaini,TO,2021-02-06 22:24:52,-21.2,-175.2,82.4,89,75,6.91
36,Butaritari,KI,2021-02-06 22:28:34,3.0707,172.7902,81.25,80,100,21.36
37,Provideniya,RU,2021-02-06 22:24:57,64.3833,-173.3,0.88,89,39,5.91
38,Jamestown,US,2021-02-06 22:28:35,42.097,-79.2353,21.2,45,1,10.36
